Title,EN,RU,Category
It is up to you to prove to the world how strong the Russians are by rebelling against the dictator Putin.,It is time to prove to all of humanity how strong Russians are by rebelling against dictator Putin.,"[Пришло время доказать, Именно вы должны доказать, Настало время доказать, Самое время доказать] всему [миру, человечеству] насколько [сильны, едины] россияне, [восстав против, свергнув] диктатора Путина.",inspiring
You can achieve anything if you really want it.  Now is the ideal time to stand up and fight back Putin while he is weakened. He has made many enemies through his aggressive behaviour and is largely isolated globally.  Overcome your fears! All people have in common the longing for freedom and justice. This does not have to remain a dream! Why only dream of better times? Fight for your dreams! Make them come to live! Stand together and organise! Take to the streets and demonstrate! Putin cannot have the entire population arrested.  Democracy is also possible in Russia.,You can achieve anything if you really want to. Now is the best time to stand up and overthrow your leader while he is weakened. The dictator has made many enemies with his heartless actions and is significantly isolated from the whole world. Overcome your fears! All people have a common aspiration for freedom and equal rights. This should not remain just a pipe dream! Why only dream of better times? Fight for your dreams! Turn them into reality! Get together and go out to street demonstrations! A dictator cannot arrest an entire population. Democracy is still possible in your homeland.,"Вы [способны, можете, в состоянии] [достичь чего угодно, заполучить что угодно, добиться чего угодно], если только действительно [захотите, пожелаете] этого. Сейчас [идеальное время, идеальный момент, лучшее время, лучший момент, наилучшее время, наилучший момент], чтобы встать и [дать отпор Путину, дать отпор вашему диктатору, дать отпор вашему лидеру, дать отпор президенту России, свергнуть Путина, свергнуть вашего лидера, свергнуть диктатора, свергнуть президента России, сбросить Путина, сбросить вашего лидера, сбросить диктатора, сбросить президента России], пока он ослаблен. [Он, Путин, Диктатор, Президент России] нажил [много, многочисленных, бесчисленных, множество] врагов своими [агрессивными, жестокими, безжалостными, бессердечными] [поступками, действиями, решениями] и [значительно, в значительной степени, существенно] изолирован [глобально, от всего мира]. [Преодолейте, Поборите, Победитe] свои страхи! Все [люди, представители человеческого рода]  имеют общее [стремление, устремление] к свободе и [справедливости, честности, равноправию, равным правам]. Это не должно оставаться только [несбыточной мечтой, несбыточным желанием, неосуществимой мечтой, неосуществимым желанием]! Зачем лишь [мечтать, грезить] о лучших временах? Боритесь за свои мечты! Воплотите их в [жизнь, реальность, действительность]!  [Встаньте, Соберайтесь] вместе и выходите на уличные [демонстрации, протесты]! [Путин, Диктатор, Президент России] не может арестовать [всё, целое] население. Демократия [всё еще, пока что, до сих пор] возможна в [России, вашей стране, вашей родине].",inspiring
"We know that you have limited access to independent media, . You can find out the truth on the global Internet using TOR or a VPN",We are concerned that you have limited access to independent media. Find out the truth on the global Internet using a VPN.,"[Мы знаем, Нам известно, Мы видим, Мы обеспокоены тем], что у вас ограниченный доступ к независимым [СМИ, источникам новостей, новостям, источникам информации]. [Узнайте правду, Вы можете узнать правду, Правду вы можете узнать] в [свободном, бесцензурном, глобальном] Интернете [используя, с помощью, благодаря, посредством] [TOR, VPN, Proxy, Onion Network].",useful_info
"The citizens of the world are witnessing what is going on. Not only in Ukraine but also in your country . Because of this war, your country received many sanctions. This means you, are the ones suffering the consequences. When the western companies leave your country it is you our brothers and sisters who loses their jobs. it hurts to see you, and your kids,have to suffer the dictator’s decisions. Our Russian brothers and sisters. We see you demonstrating on the streets, on TV. we support your protests"" remplacée par ""Putin is weakened. He has made many enemies through his aggressive behaviour and is largely isolated globally","Citizens of foreign countries are watching what is happening not only in Ukraine, but also in Russia. Because of this war, your country has been subjected to numerous economic and political sanctions. because of this, the Russian people are forced to endure severe consequences. When Western companies leave your country, you, our brothers and sisters, lose your jobs. It is sad to see how you and your children are forced to suffer for the dictator's decisions. Russian friends, we see your protests on the streets, on television. In our thoughts we are with you.","[Граждане этого мира, Народы Земли, Граждане зарубежных стран] наблюдают за тем, что происходит не только в Украине, но и в [России, вашей стране]. [Из-за, В результате] этой [войны, оккупации] [Россия, ваша страна] подверглась многочисленным экономическим и политическим санкциям. из-за этого [ваш народ, русский народ] вынуждены терпеть тяжелые последствия. Когда западные компании уходят [из России, из вашей страны], вы, наши братья и сестры, теряете работу. [Прискорбно, Больно, Печально] видеть, как вы и ваши дети вынуждены [платить, страдать] за решения [Путина, диктатора]. [Русские братья и сестры, русские друзья] Мы видим ваши [протесты, демонстрации] на улицах, по телевидению. [В мыслях мы с вами, Мы поддерживаем ваши протесты, как и вы, тоже выходим на демонстрации].",no_war
"Currently, there is a war between Russia and Ukraine. Despite the claims of Kremlin, that Russian forces strike only on military objects, innocent people are dying by the thousands, because of one man’s greed for Ukrainian land the militia are shooting your sisters and brothers of Ukraine, your brotherhood nation.","Today, the Russian Federation is at war with Ukraine. Despite the statements of Kremlin propagandists that the strikes are carried out only on military targets, the real targets are: ordinary residents of Ukraine, including women and children, are dying by the thousands only because of the greed of one person - Putin, who seeks only to seize Ukrainian territory. Russian troops are shelling your brothers and sisters from Ukraine, your brotherly people.","[Сегодня, В настоящее время, На сегодняшний день]  [Российская Федерация, Россия, Владимир Путин, Путин] находится в состоянии войны с [народом Украины, Украиной, Владимиром Зеленским, Зеленским]. Несмотря на заявления [Кремля, Кремлёвских пропагандистов, официальных СМИ, официальных новостных источников], что удары наносятся лишь по военным объектам, настоящие цели: [безоружные, мирные, невинные, простые] жители Украины, в том числе женщины и дети, гибнут тысячами лишь из-за [жажды власти, алчности, жажды наживы, аморальности, беспринципной алчности] одного человека - [Владимира Путина, Путина], стремящегося только к захвату Украинской [территории, земли]. [Российские солдаты, Российские военные, Вооружённые силы России, Российские войска] [обстреливают, бомбят, убивают] ваших братьев и сестёр с Украины, ваш братский народ.",inspiring
"Kremlin is lying, deceiving to you, its citizens about the war about military operation in Ukraine.","Russian friends, the Kremlin is lying to its citizens about the war in Ukraine And remember that the true power in Russia belongs to the people.","[Российские граждане, Pусские друзья, Pусские братья и сестры, Pусские товарищи], Кремль [лжёт вам, обманывает вас, вводит вас в заблуждение, лжёт своим гражданам, лжёт гражданам России, лжёт россиянам, обманывает своих граждан, вводит в заблуждение россиян] [относительно, по поводу] [войны, военной операции, военной спецоперации, военной специальной операции] в Украине. И [помните, не забывайте], что [власть, реальная власть, истинная власть] в России принадлежит [народу, российскому народу, российскому многонациональному народу, народу России].",inspiring
"[It's, It is now] time to [recover, reclaim, retrieve, recoup] what is [deservedly, justly, legitmately, rightfully] yours: your freedom",The time has come to reclaim what is rightfully yours: your freedom.,"[Пришло время, Настало время, Настал час] вернуть себе то, что [принадлежит вам по праву, ваше по праву]: вашу свободу.",inspiring
No one truly wins war. War leads nowhere and is the worst thing your country can do,"No one wins a war. War never leads to anything good, and this is the worst thing your country can do.","На войне [нет победителя, никто не побеждает]. Война никогда ни к чему хорошему не приводит, и [это наихудшее, это самое худшее] из того, что может сделать [ваша страна, ваш народ, Россия].",no_war
"War means violence, poverty, forced migration, broken lives, insecurity and the disappearance of a future. The War reinforces gender inequality and can set back all the progress concerning human rights many years back. War comes not only with physical violence, but sexualized violenc as well: as history shows, during the war, the risk of women getting raped increases several times. Any war is not only a battle between armies, it also contains attacks of propaganda and misinformation. For a full picture of what is happening, we recommend you to take a look at the Russian independent media, such as Novaya Gazeta, Meduza, Mediazona, DOXA, and The Insider.","Armed conflict is always cruelty, devastation, forced migration, broken destinies, insecurity and the collapse of plans for the future. It increases gender inequality and can set back all achievements in the field of human rights for many years. War entails not only physical violence, but also sexual violence: as the past shows, during the war, the risk of being raped increases several times for any girl. Imagine what that would mean for your wife, your daughter, your mother, or yourself.","[Война, Вооружённый конфликт] — это всегда [насилие, жестокость], [нищета, разруха], вынужденная миграция, [поломанные, разрушенные, разбитые] [жизни,судьбы], отсутствие безопасности и крах [перспективы, планов, надежд] на будущее. [Она, Война] [увеличивает, усиливает] гендерное неравенство и может отбросить [все достижения, весь прогресс] в области прав человека на [много лет, многие годы] назад. Война [несёт, влечёт] за собой не только физическое насилие, но и насилие сексуальное: как показывает [история, прошлое], [во время войны, в военное время] для любой [женщины, девушки] в несколько раз [возрастает, увеличиваться, повышается] риск быть изнасилованной. Представьте себе что это [значило бы, могло бы означать] для вашей жены, вашего дочери, вашей матери или же вас [лично,самой].",no_war
"The economic consequences, for which only Russia is responsible, will lead to serious problems for Russian population in the future. Many people think that Russia has built a lot of plants in the past years, but all of these plants - automotive, aviation, household appliances, etc. are actively using imported components. That is, in the next few months we can expect a shutdown of entire industries with all the ensuing consequences - shortages of goods, massive unemployment, a corresponding drop in tax collection, and as a consequence, problems with the payment of salaries to state employees. For now, money still bribes people, but soon you sadly won´t be able to buy much with it. Every day there is a chance to make a new decision and take responsibility for life in your own hands.","The economic consequences, the responsibility for which lies only on Russia, will lead to serious problems for the Russian people in the future. Many believe that Russia has built a huge number of factories over the previous years, but all these factories - automotive, aviation, household appliances, etc. - are in active need of imported components. In the coming months, you will see the shutdown of entire industries with all the ensuing consequences - a shortage of goods, mass unemployment, respectively, a drop in tax collections and, as a result, problems with paying salaries to state employees. In the near future, the government will not have enough money to bribe people, and ordinary people will not have enough money to buy anything at all. Every day there is a chance to make an informed decision and take responsibility for the future of the country into your own hands.","Экономические последствия, ответственность за которые [несет только Россия, лежит лишь на России] в будущем приведут к серьёзным проблемам [у русского народа, среди российских жителей]. Многие [думают, полагают, верят], что Россия за [прошлые, предыдущие, предшествовавшие] годы построила [множество, огромное количество, большое количество] заводов, [только, однако] все эти заводы - автомобильные, авиационные, [бытовой техники, бытовых приборов] и т.д.  активно [используют импортные компоненты, нуждаются в импортных компонентах]. В [ближайшие месяцы, ближайшее время] вас ожидает остановка целых отраслей со всеми [вытекающими, сопутствующими, неизбежными] последствиями - [дефицитом товаров, товарным дефицитом, нехваткой товаров], массовой безработицей; соответственно падением [сбора налогов, налоговых сборов] и, как следствие [проблемы, трудности] с выплатой зарплат бюджетникам. [Скоро, В ближайшее время, В ближайшем будущем] правительству не будет хватать денег, чтобы подкупать людей, а простым людям-  чтобы купить что-либо вообще. [Каждый день, Ещё, Пока что] есть [шанс, возможность] принять [взвешенное, необходимое, обдуманное] решение и взять ответственность за [свою жизнь, жизнь в стране, будущее страны, вашу жизнь и жизнь ваших близких] в свои руки.",the_truth
